franchID,mean_Attendance,mean_AttendanceG
ANA,3154816,38948.38461538462
ARI,2161340.3846153845,26683.23076923077
ATL,2422442.230769231,29906.76923076923
BAL,2048778.076923077,25400
BOS,2968811.076923077,36652
CHC,3048878.3846153845,37641.307692307695
CHW,2057514.923076923,25372.53846153846
CIN,2105366.846153846,26021.69230769231
CLE,1770131.8461538462,21896.923076923078
COL,2674183.846153846,32987.153846153844
DET,2687944.3846153845,33214.230769230766
FLA,1521238.8461538462,18858.846153846152
HOU,2353700.769230769,29091.153846153848
KCR,1869609.8461538462,23081.615384615383
LAD,3657449.3076923075,45109
MIL,2742632.769230769,33770.46153846154
MIN,2414682.3846153845,29782.846153846152
NYM,2763744.6153846155,34120.307692307695
NYY,3621174,44705.769230769234
OAK,1669127,20606.46153846154
PHI,2854087,35107.53846153846
PIT,1944257.8461538462,24020.53846153846
SDP,2282749.769230769,28182.076923076922
SEA,2161909,26659.30769230769
SFG,3216951.5384615385,39676.53846153846
STL,3393881.153846154,41940.38461538462
TBD,1487380.1538461538,18319.23076923077
TEX,2574681.6923076925,31749.46153846154
TOR,2383097.153846154,29475.615384615383
WSN,2289385.230769231,28314.69230769231
