notatt,line,total,temp,hum,precip,wind,thur,mon,sunnight,div,absline,winpct,offw,offl,win1,win2,win2p,loss1,loss2,loss2p,sep,oct,nov,dec,fav
5481,1,39.5,66,79,0.11,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
5730,10.5,39.5,58,90,2.17,10,0,0,1,0,10.5,0,0,1,0,0,0,0,1,0,1,0,0,0,0
6581,-1,37.5,67,63,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
7226,6.5,45,52,64,0,12,0,0,0,0,6.5,0,0,1,0,0,0,0,0,1,0,0,1,0,0
10105,3,37.5,62,66,0.34,23,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0
11027,3.5,46.5,50,84,0,11,0,0,0,0,3.5,0,0,1,0,0,0,0,0,1,0,0,1,0,0
11040,6.5,41.5,37,73,0,8,0,0,0,1,6.5,0,0,1,0,0,0,0,0,1,0,0,0,1,0
8662,7,40.5,43,85,0.02,4,1,0,0,1,7,0.071428571,1,0,1,0,0,0,0,0,0,0,0,1,0
6298,3,45.5,66,61,0,3,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0
4833,-3,41.5,51,64,0,6,0,0,0,1,3,0.5,1,0,1,0,0,0,0,0,1,0,0,0,1
4973,6.5,49.5,44,68,0,6,0,0,0,0,6.5,0.333333333,0,1,0,0,0,1,0,0,0,1,0,0,0
5648,-1,46.5,54,76,0,7,0,0,0,0,1,0.4,0,1,0,0,0,1,0,0,0,1,0,0,1
4606,2.5,44,38,77,0,6,0,0,0,0,2.5,0.571428571,1,0,0,1,0,0,0,0,0,0,1,0,0
6298,-2,51,36,65,0,9,0,0,0,0,2,0.6,0,1,0,0,0,1,0,0,0,0,1,0,1
6177,-3.5,47,48,95,0.52,9,0,0,0,1,3.5,0.666666667,1,0,0,1,0,0,0,0,0,0,0,1,1
5587,6.5,47,20,82,0,9,0,0,0,1,6.5,0.666667,1,0,1,0,0,0,0,0,0,0,0,1,0
5999,-11,45,79,65,0,6,0,0,0,0,11,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1
4939,-1,43.5,64,54,0,7,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
5361,3,43.5,55,80,1.45,10,0,0,0,0,3,0.75,1,0,0,1,0,0,0,0,0,1,0,0,0
2554,6,54.5,51,64,0,11,0,0,1,0,6,0.666666667,0,1,0,0,0,1,0,0,0,1,0,0,0
3904,-7.5,43,41,60,0,9,0,0,0,0,7.5,0.75,1,0,0,1,0,0,0,0,0,0,1,0,1
5801,-3.5,46,42,63,0,7,0,0,0,1,3.5,0.636363636,0,1,0,0,0,1,0,0,0,0,0,1,1
9404,-6,47,22,80,0,15,0,0,0,1,6,0.615384615,0,1,0,0,0,1,0,0,0,0,0,1,1
4765,-11,45,35,75,0,11,0,0,0,1,11,0.666666667,1,0,0,1,0,0,0,0,0,0,0,1,1
4329,-3,53.5,57,80,0.54,5,0,1,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1
5030,-7.5,45.5,71,56,0,3,0,0,0,1,7.5,0.333333333,1,0,1,0,0,0,0,0,1,0,0,0,1
3734,-2.5,49.5,50,59,0.13,10,0,0,0,0,2.5,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1
3514,-3,50.5,50,67,0,7,0,0,0,0,3,0.666666667,1,0,0,0,1,0,0,0,0,1,0,0,1
3936,-3,58,32,82,0.22,4,0,0,0,0,3,0.666666667,1,0,1,0,0,0,0,0,0,0,1,0,1
5320,-13,49,50,81,1.91,12,0,0,0,1,13,0.6,0,1,0,0,0,1,0,0,0,0,1,0,1
4333,-7.5,48.5,52,77,0,18,0,0,0,0,7.5,0.636363636,1,0,1,0,0,0,0,0,0,0,1,0,1
4310,-7,49,45,91,0,7,0,0,0,1,7,0.692307692,1,0,0,0,1,0,0,0,0,0,0,1,1
