Player,Year,retroID
Felix Hernandez,2010,hernf002
Roy Halladay,2010,hallr001
Justin Verlander,2011,verlj001
Clayton Kershaw,2011,kersc001
David Price,2012,pricd001
R. A. Dickey,2012,dickr001
Max Scherzer,2013,schem001
Clayton Kershaw,2013,kersc001
Corey Kluber,2014,klubc001
Clayton Kershaw,2014,kersc001
Dallas Keuchel,2015,keucd001
Jake Arrieta,2015,arrij001
Rick Porcello,2016,porcr001
Max Scherzer,2016,schem001
Corey Kluber,2017,klubc001
Max Scherzer,2017,schem001
Blake Snell,2018,snelb001
Jacob deGrom,2018,degrj001
Justin Verlander,2019,verlj001
Jacob deGrom,2019,degrj001
